"Vehicle","Start Location Name","Start Time","End Location Name","End Time","Distance (mi)","Duration (min)","Fuel Cost (USD)","Average MPG","Fuel Volume (gal)","Hard Accelerations","Hard Brakes","Duration Over 70 mph (secs)","Duration Over 75 mph (secs)","Duration Over 80 mph (secs)","Start Location Lat","Start Location Lon","Start Location Accuracy (meters)","End Location Lat","End Location Lon","End Location Accuracy (meters)","Path","Tags"
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-07-08 5:32 PM","388 East Mesquite Street, Gilbert, AZ 85296, USA","2015-07-08 6:07 PM","19.22","34.73","1.51","34.34","0.55","1","0","0","0","0","33.29675","-111.59417","5","33.34447","-111.78179","30","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EyGEaGB`GCxGDd@DRNJVB`LMfm@Opi@@ZQpt@WdwAClNA|AaVLmUNqUL_[Rwf@XwMEqMFwJJ_CHyA?cE?aa@FkZ@oLAqE?qLDwYJeRBs]Dad@PuRHuB?mBBAw@@{@C]HwABuDw@AIEGKA{GGIkBCIFEFDGHGjBBFH@zGFJHDv@@CtDIvAGNE\Cx@Af@oE?mGB{IB_@@Ad@AvSEzLElJAhDA`KB~JEhDCrZF^@p@@xA?~FAxGChUEbVOz|@Kbz@?rM@nICvB@dTBnk@Dp^HzhADlYIl@?TAtHBtF?DHN@|G@dPBxQBzY@`QKT@~G?zDBvAHT?vE@zE@p\Bvi@F`d@Fx`@BpP?hRDpNLbn@Fn`@@rIK`@?\@rD?`@V?dCC?hAZ??VzA??SFOAa@?m@vDAlCExDAfLEvECNF~@@hBCrHCxCAR?NKtDA~AC`KEdGAlH@xKHjHDpB@?mB@{@A]_@uCU{D?sCHmB@sCAwIFw@Jm@p@{BoDaB",""
"2003 Honda Civic","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-07-08 6:28 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-07-08 6:52 AM","15.52","24.36","1.18","35.52","0.45","0","0","14","0","0","33.34454","-111.78196","10","33.29675","-111.59417","5","cqojE|lgiTe@bBM`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBnDB`EDtC@dB@bCBFHBDD?bDBrDHnCNhCBpFBZ??a@CcNAoBMwDEkHEoc@EqRAyNEa`@Iwb@Cye@EkWCuy@CoT?}ICmOCcRCgGImA?qKAmZ?{DKiFhBBlCBD?JGlGCjFIjFCFBdHHjBEfFBz@D@a@EkAu@{K_@yF[wHK_EE_@GOSsJOgMCgg@B}fBA_[?gn@?me@?oNCsEOwFQoDLiNa@_Iy@uHaAwGeB_Mi@aEKcBAk@@mAJ{BNqBVyAf@uB~@}BbAkBhAyAfCwB~CyBjEkClMiIpDmClBaB~A_BvA}AzIgLvLsOl@}@l@mAn@iBf@{BLsBjDBpDExBOpQIrROp\SpUOzg@[vCCCW@{FZuaBPqt@A[Jw[Jag@D_SCaLKWSOe@EyGEsKBrKCxGDd@DRNJVB`LCfFyD@wO?Is@OUKIoE?",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-07-07 5:44 PM","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-07-07 6:10 PM","15.63","25.62","1.18","35.75","0.45","0","0","191","0","0","33.29675","-111.59417","5","33.34454","-111.78196","10","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EyGEyMDxMExGDd@DRNJVB`LMfm@Opi@@ZQpt@[taBAzFmg@X}j@\}OH}]TuIAsFAmJFQl@gApIo@jE_@`Be@lA_DxFeCrEuDnF{B`CyBnByDrC{G~DeBfBsCpBaFpCoFhCgC`AaCv@kAb@aA`@_An@gAfAu@jAq@vA_@pAW~AO~AAdBDnBNtA\zApBzFhB`F~B~Gt@xCr@hD|@dFrAlJdArJn@xDHrD@fC?raA@|`@A~Z?vhB?dT?pLDtJ\bTE\@fFAtHM|LCfFOAmLLg@D{IF_HHiB?IG_GIJzF?`B?tO@~T?bCIXEV?bBDxVF|^@rL?hPBnt@BjECnHB~GBrM@vSHlm@Bb[FbYDjXBvOJ|DFfBBfP?RQ?_FCkCA_CQkBEqFEMBMJkECqFEsHG@}CEcASsASqBK{C?wAB{@FcA]?YCWEiBk@\eBHq@AuHFmAT_AXcA",""
"2003 Honda Civic","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-07-07 6:30 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-07-07 6:53 AM","15.53","23.02","1.15","36.46","0.42","0","0","35","0","0","33.34454","-111.78196","10","33.29675","-111.59417","5","qqojE`ngiTW~@M`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBnDB`EDtC@dB@bCBFHBDD?bDBrDHnCNhCBpFBZ??a@CcNAoBMwDEkHEoc@EqRAyNEa`@Iwb@Cye@EkWCuy@CoT?}ICmOCcRCgGImA?qKAmZ?wDKmFxFFFAFEpA?`BAzDG|EEvCADBD@`HF`ACpB?nB?jBF@iAS{Cy@_LWkEW_IG_CEOEII}DQaKEiCCsIAk`@@yhB?a[?}s@?{b@AgMGoEQuEIuAJcIAcF]aGy@uH}BaPgAeISgBEyABsBXgEd@kCj@gBhAiCnAoBhAkA~AqA~CyBjEkCpGeEzDcCxAgAvAeAlBaBvD}D`UsY~BeDl@mAn@iBf@{BLsBjDBpDExBO`HE~JE~RObf@Yr_@WbVOAuBl@e|CA[H{YBuDJ_p@BuRGc@OQSI_ACy@?x@?~@BRHNPFb@CtRgJBiJAC_@K_@MOGCgB?gB?",""
"2003 Honda Civic","1586-1598 East Warner Road, Gilbert, AZ 85296, USA","2015-07-06 5:39 PM","1495 East Warner Road, Gilbert, AZ 85296, USA","2015-07-06 5:43 PM","2.16","4.75","0.15","39.05","0.05","0","0","0","0","0","33.33579","-111.75608","30","33.33525","-111.75812","586.1","s{mjEnjbiTB|D?bC\?f@Ad@JLD",""
"2003 Honda Civic","Unknown","2015-07-06 3:26 PM","Unknown","2015-07-06 3:34 PM","3.03","7.84","0.28","28.93","0.11","0","0","0","0","0","33.33868","-111.754","1414","33.33868","-111.754","1414","null",""
"2003 Honda Civic","Unknown","2015-07-06 10:24 AM","Unknown","2015-07-06 10:45 AM","10.37","21.00","0.80","35.28","0.29","0","0","37","0","0","33.34454","-111.78196","10","33.33868","-111.754","1414","null",""
"2003 Honda Civic","Unknown","2015-07-06 9:22 AM","Unknown","2015-07-06 9:43 AM","11.66","20.50","0.84","37.63","0.32","3","0","0","0","0","33.34454","-111.78196","10","33.33868","-111.754","1414","null",""
"2003 Honda Civic","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-07-06 8:46 AM","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-07-06 8:59 AM","2.88","12.65","0.33","23.52","0.13","0","0","0","0","0","33.34454","-111.78196","10","33.34454","-111.78196","10","null",""
"2003 Honda Civic","Unknown","2015-07-05 7:44 PM","Unknown","2015-07-05 8:07 PM","12.43","23.38","0.86","38.34","0.32","0","0","0","0","0","33.32791","-111.59972","4843.1","33.32791","-111.59972","4843.1","null",""
