,Start Time,End Time,Distance (mi),Duration (min),Fuel Cost (USD),Average MPG,Fuel Volume (gal),Hard Accelerations,Hard Brakes,Duration Over 70 mph (secs),Duration Over 75 mph (secs),Duration Over 80 mph (secs),Tags
0,2015-07-08 17:32:00,2015-07-08 18:07:00,19.22,34.73,1.51,34.34,0.55,1,0,0,0,0,commute
1,2015-07-08 06:28:00,2015-07-08 06:52:00,15.52,24.36,1.18,35.52,0.45,0,0,14,0,0,commute
2,2015-07-07 17:44:00,2015-07-07 18:10:00,15.63,25.62,1.18,35.75,0.45,0,0,191,0,0,commute
3,2015-07-07 06:30:00,2015-07-07 06:53:00,15.53,23.02,1.15,36.46,0.42,0,0,35,0,0,commute
4,2015-07-06 17:39:00,2015-07-06 17:43:00,2.16,4.75,0.15,39.05,0.05,0,0,0,0,0,Other
5,2015-07-06 15:26:00,2015-07-06 15:34:00,3.03,7.84,0.28,28.93,0.11,0,0,0,0,0,Other
6,2015-07-06 10:24:00,2015-07-06 10:45:00,10.37,21.0,0.8,35.28,0.29,0,0,37,0,0,Other
7,2015-07-06 09:22:00,2015-07-06 09:43:00,11.66,20.5,0.84,37.63,0.32,3,0,0,0,0,Other
8,2015-07-06 08:46:00,2015-07-06 08:59:00,2.88,12.65,0.33,23.52,0.13,0,0,0,0,0,Other
9,2015-07-05 19:44:00,2015-07-05 20:07:00,12.43,23.38,0.86,38.34,0.32,0,0,0,0,0,Other
10,2015-07-05 18:33:00,2015-07-05 18:44:00,5.1,10.77,0.42,32.46,0.16,1,0,0,0,0,Other
11,2015-07-05 17:10:00,2015-07-05 17:41:00,29.23,31.43,1.77,43.99,0.66,0,0,28,0,0,Other
12,2015-07-05 06:28:00,2015-07-05 06:50:00,15.58,22.73,1.07,39.28,0.4,0,0,10,0,0,Other
13,2015-07-04 22:18:00,2015-07-04 22:40:00,11.72,22.45,0.88,35.99,0.32,0,1,0,0,0,Other
14,2015-07-04 19:43:00,2015-07-04 20:02:00,10.76,19.29,0.84,34.58,0.32,1,0,0,0,0,Other
15,2015-07-03 16:46:00,2015-07-03 16:55:00,3.37,8.26,0.28,31.05,0.11,0,0,0,0,0,Other
16,2015-07-03 13:32:00,2015-07-03 13:39:00,3.04,7.88,0.27,30.11,0.11,0,1,0,0,0,Other
17,2015-07-02 21:05:00,2015-07-02 21:26:00,11.95,21.0,0.9,35.99,0.34,0,0,75,0,0,Other
18,2015-07-02 18:59:00,2015-07-02 19:06:00,3.82,7.46,0.29,35.99,0.11,0,0,0,0,0,Other
19,2015-07-02 17:21:00,2015-07-02 17:43:00,6.52,22.18,0.69,25.64,0.26,0,0,0,0,0,Other
20,2015-07-02 14:51:00,2015-07-02 15:05:00,4.45,14.38,0.4,28.93,0.16,0,1,0,0,0,Other
21,2015-07-02 13:41:00,2015-07-02 13:46:00,1.03,5.28,0.14,19.52,0.05,0,0,0,0,0,Other
22,2015-07-02 12:28:00,2015-07-02 12:38:00,2.4,9.66,0.25,24.93,0.11,0,0,0,0,0,Other
23,2015-07-02 09:12:00,2015-07-02 09:30:00,8.24,17.35,0.65,35.05,0.24,0,0,0,0,0,Other
24,2015-07-01 20:13:00,2015-07-01 20:29:00,6.5,16.75,0.55,31.52,0.21,0,0,0,0,0,Other
25,2015-07-01 20:07:00,2015-07-01 20:10:00,0.42,2.95,0.07,16.94,0.03,0,0,0,0,0,Other
